LIST Oct97-680.list LET_A 9 taxfile 126maxNL.tax
0 aaaaaaaaa -0.72732 -1.77299  1.45651 3381
1 baaaaaaaa -0.88722 -1.80249  1.59562 2002
2 abaaaaaaa -0.78625 -1.42957  1.37611 2020
3 bbaaaaaaa -0.92908 -1.37141  1.46117 1181
4 aabaaaaaa -0.18323 -1.24394  0.81074 2105
5 babaaaaaa -1.67239 -0.17639  1.23333 1155
6 abbaaaaaa -0.25778 -0.90353  0.72651 1235
7 bbbaaaaaa -1.69399 -0.13257  1.21183  581
8 aaabaaaaa -0.43021 -0.91987  0.87364 2016
9 baabaaaaa -0.11896 -0.97303  0.64222 1280
10 ababaaaaa -1.50746  0.50141  0.62536 1216
11 bbabaaaaa -1.25906  0.50141  0.49925  608
12 aabbaaaaa  0.00311 -0.14946  0.09590 1203
13 babbaaaaa -0.35228  0.35204  0.02976  648
14 abbbaaaaa -1.47417  0.99800  0.17541  596
15 bbbbaaaaa -2.18197  1.56060 -0.08382  236
16 aaaabaaaa -0.60938 -0.44033  0.75563 1879
17 baaabaaaa  0.12169 -0.75564  0.33303 1251
18 abaabaaaa -0.03117 -0.61993  0.39720 1266
19 bbaabaaaa  0.37973 -0.65522  0.04969  730
20 aababaaaa -1.25515  0.98724  0.07548 1226
21 bababaaaa -1.64412  1.37600 -0.10589  620
22 abbabaaaa -0.80559  1.22878 -0.42088  613
23 bbbabaaaa -1.12215  1.61586 -0.61767  266
24 aaabbaaaa -0.22063  0.64180 -0.31058 1125
25 baabbaaaa  0.97361 -0.47916 -0.63632  707
26 ababbaaaa -0.62771  1.52306 -0.85663  646
27 bbabbaaaa  1.09590 -0.08083 -1.04265  333
28 aabbbaaaa -1.54449  2.19291 -1.01889  652
29 babbbaaaa -0.32205  2.02954 -1.79177  298
30 abbbbaaaa -1.94157  3.36004 -2.28713  261
31 bbbbbaaaa -1.36666  2.85504 -1.98671   75
32 aaaaabaaa -0.15507 -0.71240  0.54878 2009
33 baaaabaaa -0.38534 -0.88986  0.82357 1117
34 abaaabaaa  0.80642 -0.93032 -0.23081 1342
35 bbaaabaaa  0.03844 -0.65757  0.35690  617
36 aabaabaaa  0.72596 -0.78318 -0.21939 1409
37 babaabaaa -0.41733  0.08220  0.27777  614
38 abbaabaaa  1.30123 -0.87337 -0.77648  839
39 bbbaabaaa  0.04837 -0.05021 -0.00771  280
40 aaababaaa -1.10742  1.05555 -0.06859 1225
41 baababaaa -1.19773  1.09104 -0.05145  599
42 abababaaa -1.16170  1.77778 -0.76891  635
43 bbababaaa -1.02249  1.50887 -0.56594  268
44 aabbabaaa -0.09859  1.36581 -1.14657  649
45 babbabaaa -1.26769  1.90354 -0.84518  238
46 abbbabaaa -0.46839  1.99706 -1.58394  305
47 bbbbabaaa -1.69399  2.98749 -1.92941   83
48 aaaabbaaa  0.09694  0.56852 -0.52283 1135
49 baaabbaaa  0.26890  0.28971 -0.45239  586
50 abaabbaaa  1.47488 -0.37639 -1.28022  712
51 bbaabbaaa  1.45348 -0.37067 -1.25776  352
52 aababbaaa  0.00719  1.39321 -1.28959  649
53 bababbaaa -0.64669  1.78315 -1.14240  281
54 abbabbaaa  1.42006  0.27008 -1.79709  376
55 bbbabbaaa  1.14416  0.48065 -1.63271   97
56 aaabbbaaa -1.39563  2.39222 -1.34395  652
57 baabbbaaa -0.27356  2.02616 -1.84455  287
58 ababbbaaa -0.34721  2.48453 -2.55262  298
59 bbabbbaaa  1.28494  0.93751 -2.54782  104
60 aabbbbaaa -1.52938  3.60913 -3.10582  293
61 babbbbaaa -1.19175  3.34537 -3.03325   80
62 abbbbbaaa -0.92846  3.23356 -3.22088   90
63 bbbbbbaaa -0.63345  2.39561 -2.00083   27
64 aaaaaabaa -0.05080 -1.36889  0.74365 2079
65 baaaaabaa -0.28467 -1.61402  1.03225 1147
66 abaaaabaa  0.07636 -1.33082  0.61721 1212
67 bbaaaabaa -0.42326 -1.39794  1.07209  632
