LIST Oct97-680.list LET_ma 17
H
A  0.18641  0.26341  0.32191  0.36539  0.44998  0.52866  0.65612  0.71422  0.88333  0.89407  0.80852  0.72904  0.63812  0.52052  0.40071  0.29452  0.23867 
I  0.00128 -0.03371 -0.03054 -0.01112  0.01001  0.09238  0.09562  0.11539  0.19903  0.12203  0.12716  0.15632 -0.00159 -0.00147  0.09673  0.09218  0.07412 
L  0.06483  0.06832  0.10898  0.15072  0.20624  0.32105  0.47170  0.48732  0.66363  0.65222  0.69292  0.71998  0.58918  0.51090  0.51929  0.40395  0.30187 
M  0.21861  0.20016  0.25200  0.28621  0.32729  0.43201  0.56129  0.51179  0.61997  0.72674  0.75556  0.73366  0.60724  0.49398  0.48084  0.29097  0.19283 
F -0.01761 -0.05013 -0.02060 -0.06301 -0.07750 -0.03913 -0.02855 -0.05028  0.04509  0.02768  0.02788  0.02583 -0.07848 -0.04420  0.03611  0.00361 -0.04059 
P  0.00672 -0.04400 -0.11919 -0.26231 -0.38804 -0.57630 -0.85174 -1.17195 -1.61081 -2.78961 -2.17745 -1.78379 -1.13802 -0.75396 -0.57703 -0.39135 -0.27418 
V -0.13125 -0.13526 -0.17117 -0.18215 -0.18885 -0.18988 -0.22801 -0.23041 -0.17296 -0.23566 -0.22838 -0.24071 -0.34608 -0.28242 -0.18411 -0.11767 -0.08796 
R  0.03057  0.01801  0.03245  0.08559  0.11528  0.15146  0.21622  0.32523  0.44524  0.46862  0.50091  0.54109  0.47343  0.41531  0.31629  0.28263  0.25689 
D  0.19666  0.20329  0.18571  0.18670  0.18241  0.13718  0.08424  0.00722 -0.35345 -0.33314 -0.48687 -0.51902 -0.38617 -0.31060 -0.27509 -0.18065 -0.11705 
E  0.24696  0.29648  0.33065  0.39286  0.45848  0.48439  0.53398  0.67094  0.75403  0.70068  0.40211  0.19097  0.25516  0.20903  0.13715  0.17949  0.21244 
K -0.06526 -0.08214 -0.07038 -0.04529 -0.03861 -0.04768 -0.00503  0.17138  0.31478  0.32651  0.38438  0.44595  0.51511  0.45539  0.33596  0.34572  0.35553 
